ReactionKey,Name,PathwayKey,FormulaKey,GeneAssociation,Flux_Baseline,Flux_Stress75,DeltaFlux,AbsDeltaFlux,DeltaAbsFlux,FVA_Baseline_Min,FVA_Baseline_Max,FVA_Stress75_Min,FVA_Stress75_Max,Required_Baseline,Required_Stress75,ResponseClass,Evidence,NodeSize
HCYSte,"Homocysteine transport (extracellular)","Transport, Extracellular",hcys__L_e  <=> hcys__L_c,,0,0,0,0,0,-0.00978535888887953,0,-0.00974667744446434,0,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HDCAt,"Hexadecanoate  n C160  transport in via uniport","Transport, Extracellular",hdca_e  <=> hdca_c,,-0,1.4845835374049e-32,1.4845835374049e-32,1.4845835374049e-32,1.4845835374049e-32,0,0.00838745047624316,0,0.00835429495240668,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
FCLT,"Ferrochelatase","Heme Biosynthesis",ppp9_c + fe2_c  -> pheme_c + 2 h_c,Fech_AT1 or Fech_AT2,0,0,0,0,0,0,0.0025,0,0.0025,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
FE2t,"Iron  II  transport","Transport, Extracellular",fe2_e  <=> fe2_c,,0,0,0,0,0,0,0,0,0,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
FMNAT,"FMN adenylyltransferase","Riboflavin Metabolism",fmn_c + atp_c + h_c  -> ppi_c + fad_c,FadS_AT1 or FadS_AT2,0,0,0,0,0,0,0.0146780383332119,0,0.0146200161667379,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HEX1,"Hexokinase (D-glucose:ATP)","Glycolysis/Gluconeogenesis",atp_c + glc__D_c  -> adp_c + g6p_c + h_c,Hk2_AT1 or Hk1_AT3 or Hk1_AT1 or Hk1_AT2 or Hk3_AT1 or Flj22761_AT1 or Hk1_AT4 or Hk1_AT5,1.12,1.12,0,0,0,0.193863539999611,1.12,0.944559805999646,1.12,1,1,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
NMNAT,"Nicotinamide-nucleotide adenylyltransferase","NAD Metabolism",atp_c + h_c + nmn_c  <=> ppi_c + nad_c,Nmnat3_AT1,-1.97215226305253e-31,0,1.97215226305253e-31,1.97215226305253e-31,-1.97215226305253e-31,-0.001,0.00284091064516131,-0.000999999999999999,0.00282968054839586,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HEX10,"Hexokinase (D-glucosamine:ATP)","Aminosugar Metabolism",atp_c + gam_c  -> adp_c + gam6p_c + h_c,Hk1_AT3 or Hk1_AT2 or Hk1_AT5 or Flj22761_AT1 or Hk2_AT1 or Hk1_AT4 or Hk3_AT1 or Hk1_AT1,1e-05,1e-05,0,0,0,0,1e-05,0,1e-05,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HEX4,"Hexokinase (D-mannose:ATP)","Fructose and Mannose Metabolism",atp_c + man_c  -> adp_c + h_c + man6p_c,Hk1_AT1 or Hk1_AT3 or Hk1_AT4 or Hk1_AT2 or Hk1_AT5 or Hk3_AT1 or Flj22761_AT1 or Hk2_AT1,0.01,0.01,0,0,0,0,0.01,0,0.01,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HEX7,"Hexokinase (D-fructose:ATP)","Fructose and Mannose Metabolism",fru_c + atp_c  -> adp_c + h_c + f6p_c,Hk1_AT4 or Hk3_AT1 or Hk1_AT1 or Hk1_AT5 or Hk2_AT1 or Hk1_AT3 or Flj22761_AT1 or Hk1_AT2,0.0075,0.0075,0,0,0,0,0.933636460000389,0,0.182940194000354,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
HMBS,"Hydroxymethylbilane synthase","Heme Biosynthesis",h2o_c + 4 ppbng_c  -> hmbil_c + 4 nh4_c,Hmbs_AT1,0,0,0,0,0,0,0.0025,0,0.0025,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
FRUt1r,"D-fructose transport in via uniport","Transport, Extracellular",fru_e  <=> fru_c,Slc2a8_1_e or Slc2a7_1_e or Slc2a11_1_e or Slc2a2_1_e or Slc2a5_1_e,0.0075,0.0075,0,0,0,-0.00717803833334824,0.0075,-0.006572322615412,0.0075,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
FUM,"Fumarase","Citric Acid Cycle",fum_c + h2o_c  <=> mal__L_c,Fh_AT1,0,0.25,0.25,0.25,0.25,-0.5,0.25,0.0745598059996468,0.25,0,1,Activated,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,9.73394398239752
FUMtr,"Fumarate transport via diffusion (reversible)","Transport, Extracellular",fum_e  <=> fum_c,,0,0.25,0.25,0.25,0.25,-0.5,0.25,0.0745598059996468,0.25,0,1,Activated,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,9.73394398239752
NNATr,"Nicotinate-nucleotide adenylyltransferase","NAD Metabolism",atp_c + h_c + nicrnt_c  <=> ppi_c + dnad_c,Nmnat3_AT1,0,0,0,0,0,0,0.001,0,0.000999999999999996,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
G6PDA,"Glucosamine-6-phosphate deaminase","Aminosugar Metabolism",gam6p_c + h2o_c  -> f6p_c + nh4_c,Gnpda1_AT1,4.74000000297712e-05,4.74000000370512e-05,7.28009232758842e-15,7.28009232758842e-15,7.28009232758842e-15,0,4.74e-05,0,4.74e-05,0,0,Unchanged,iAB-RBC-283 model metadata; COBRA pFBA/FVA; model-defined GTHPi demand,0
